Site/Site AQS/Param/POC,Date.LST,ugPerMeter3
Billlings Lockw/301110087/PM2.5-88101/3,6/1/2018,5.4
Billlings Lockw/301110087/PM2.5-88101/3,6/2/2018,5.3
Billlings Lockw/301110087/PM2.5-88101/3,6/3/2018,6.9
Billlings Lockw/301110087/PM2.5-88101/3,6/4/2018,7
Billlings Lockw/301110087/PM2.5-88101/3,6/5/2018,6.7
Billlings Lockw/301110087/PM2.5-88101/3,6/6/2018,7.9
Billlings Lockw/301110087/PM2.5-88101/3,6/7/2018,7
Billlings Lockw/301110087/PM2.5-88101/3,6/8/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,6/9/2018,10.1
Billlings Lockw/301110087/PM2.5-88101/3,6/10/2018,5.3
Billlings Lockw/301110087/PM2.5-88101/3,6/11/2018,5.2
Billlings Lockw/301110087/PM2.5-88101/3,6/12/2018,3.9
Billlings Lockw/301110087/PM2.5-88101/3,6/13/2018,5.8
Billlings Lockw/301110087/PM2.5-88101/3,6/14/2018,6.3
Billlings Lockw/301110087/PM2.5-88101/3,6/15/2018,6.1
Billlings Lockw/301110087/PM2.5-88101/3,6/16/2018,6.3
Billlings Lockw/301110087/PM2.5-88101/3,6/17/2018,5.6
Billlings Lockw/301110087/PM2.5-88101/3,6/18/2018,5.4
Billlings Lockw/301110087/PM2.5-88101/3,6/19/2018,5.3
Billlings Lockw/301110087/PM2.5-88101/3,6/20/2018,5.5
Billlings Lockw/301110087/PM2.5-88101/3,6/21/2018,6.7
Billlings Lockw/301110087/PM2.5-88101/3,6/22/2018,5.2
Billlings Lockw/301110087/PM2.5-88101/3,6/23/2018,7.4
Billlings Lockw/301110087/PM2.5-88101/3,6/24/2018,5.2
Billlings Lockw/301110087/PM2.5-88101/3,6/25/2018,4.8
Billlings Lockw/301110087/PM2.5-88101/3,6/26/2018,5.8
Billlings Lockw/301110087/PM2.5-88101/3,6/27/2018,5.2
Billlings Lockw/301110087/PM2.5-88101/3,6/28/2018,9.1
Billlings Lockw/301110087/PM2.5-88101/3,6/29/2018,-999
Billlings Lockw/301110087/PM2.5-88101/3,6/30/2018,-999
Billlings Lockw/301110087/PM2.5-88101/3,7/1/2018,-999
Billlings Lockw/301110087/PM2.5-88101/3,7/2/2018,7.1
Billlings Lockw/301110087/PM2.5-88101/3,7/3/2018,6.8
Billlings Lockw/301110087/PM2.5-88101/3,7/4/2018,38.9
Billlings Lockw/301110087/PM2.5-88101/3,7/5/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,7/6/2018,10.3
Billlings Lockw/301110087/PM2.5-88101/3,7/7/2018,8.5
Billlings Lockw/301110087/PM2.5-88101/3,7/8/2018,9.5
Billlings Lockw/301110087/PM2.5-88101/3,7/9/2018,14.2
Billlings Lockw/301110087/PM2.5-88101/3,7/10/2018,15.7
Billlings Lockw/301110087/PM2.5-88101/3,7/11/2018,7.9
Billlings Lockw/301110087/PM2.5-88101/3,7/12/2018,7.8
Billlings Lockw/301110087/PM2.5-88101/3,7/13/2018,7
Billlings Lockw/301110087/PM2.5-88101/3,7/14/2018,8.9
Billlings Lockw/301110087/PM2.5-88101/3,7/15/2018,8.2
Billlings Lockw/301110087/PM2.5-88101/3,7/16/2018,10.6
Billlings Lockw/301110087/PM2.5-88101/3,7/17/2018,10.3
Billlings Lockw/301110087/PM2.5-88101/3,7/18/2018,9.3
Billlings Lockw/301110087/PM2.5-88101/3,7/19/2018,9.1
Billlings Lockw/301110087/PM2.5-88101/3,7/20/2018,10.5
Billlings Lockw/301110087/PM2.5-88101/3,7/21/2018,10.3
Billlings Lockw/301110087/PM2.5-88101/3,7/22/2018,6.9
Billlings Lockw/301110087/PM2.5-88101/3,7/23/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,7/24/2018,8.5
Billlings Lockw/301110087/PM2.5-88101/3,7/25/2018,7.7
Billlings Lockw/301110087/PM2.5-88101/3,7/26/2018,10.4
Billlings Lockw/301110087/PM2.5-88101/3,7/27/2018,9.5
Billlings Lockw/301110087/PM2.5-88101/3,7/28/2018,10.1
Billlings Lockw/301110087/PM2.5-88101/3,7/29/2018,9.7
Billlings Lockw/301110087/PM2.5-88101/3,7/30/2018,9
